table,project,sponsors,link
1,"DropView -- View, Edit, Repeat","Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68182-dropview-view-edit-repeat
2,Connoisseur,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Best Domain Name from Domain.com, #HackHarassment, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67878-connoisseur
3,Where in the World,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Best Domain Name from Domain.com, #HackHarassment, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67879-where-in-the-world
4,Autonomous Robot Arm,,http://hackisu-s17.devpost.com/submissions/67880-autonomous-robot-arm
5,cAR,"Pappajohn Center - Most Entrepreneurial Hack, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67881-car
7,Newswipr,,http://hackisu-s17.devpost.com/submissions/68323-newswip
8,Room For ImPRovement,Optum - Most Innovative Use of Health Technology,http://hackisu-s17.devpost.com/submissions/67886-room-for-improvement
9,MUSIC GAME FOR YOUR ENJOYMENT,,http://hackisu-s17.devpost.com/submissions/67887-music-game-for-your-enjoyment
10,Bus! Bus! Bus!,,http://hackisu-s17.devpost.com/submissions/67888-bus-bus-bus
11,Knome SFM,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67889-knome-sfm
12,eyeRover,,http://hackisu-s17.devpost.com/submissions/67891-eyerover
13,RoboStock,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67892-robostock
14,Not A Virus,"Workiva - Best Use of Cloud Computing, Best Domain Name from Domain.com, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67896-not-a-virus
15,Dashboard,,http://hackisu-s17.devpost.com/submissions/67912-dashboard
16,CYght in the Dark,"Best Domain Name from Domain.com, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67882-cyght-in-the-dark
17,Shoebotics,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67931-shoebotics
18,Remoto,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68170-remoto
19,Otto Bot Bot,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67942-otto-bot-bot
20,DutyDoctor,"Pappajohn Center - Most Entrepreneurial Hack, Optum - Most Innovative Use of Health Technology",http://hackisu-s17.devpost.com/submissions/67957-dutydoctor
21,Veloxopus,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67999-veloxopus
22,Holdup,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68000-holdup
23,Quizzical,,http://hackisu-s17.devpost.com/submissions/68004-quizzical
24,Gotta Blast!,Best Domain Name from Domain.com,http://hackisu-s17.devpost.com/submissions/68005-gotta-blast
25,tempname,,http://hackisu-s17.devpost.com/submissions/68008-tempname
26,VolunHERE,Rockwell Collins - Most Innovative Hack,http://hackisu-s17.devpost.com/submissions/68010-volunhere
27,Stinder,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68014-stinder
28,Deep Phishing,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68017-deep-phishing
29,Robarto,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68110-robarto
30,Garden Defense,Rockwell Collins - Most Innovative Hack,http://hackisu-s17.devpost.com/submissions/68020-garden-defense
31,Kiana,,http://hackisu-s17.devpost.com/submissions/68024-kiana
32,Arduino TV-B-Gone,Rockwell Collins - Most Innovative Hack,http://hackisu-s17.devpost.com/submissions/68045-arduino-tv-b-gone
33,Meal Point Exchange,,http://hackisu-s17.devpost.com/submissions/68052-meal-point-exchange
34,Nucleus,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68074-nucleus
35,Hackerfeed,"Pappajohn Center - Most Entrepreneurial Hack, Best Domain Name from Domain.com, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68076-hackerfeed
36,Safe Drive,,http://hackisu-s17.devpost.com/submissions/68077-safe-drive
37,La Busqueda,"Pappajohn Center - Most Entrepreneurial Hack, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68087-la-busqueda
38,Mersenne Primes Viewer,,http://hackisu-s17.devpost.com/submissions/68089-mersenne-primes-viewer
39,BlockGen,,http://hackisu-s17.devpost.com/submissions/68090-blockgen
40,Emoji Draw,,http://hackisu-s17.devpost.com/submissions/68095-emoji-draw
41,RushBuddies,Optum - Most Innovative Use of Health Technology,http://hackisu-s17.devpost.com/submissions/68097-rushbuddies
42,CQ,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68108-cq
43,StudyBot,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68019-studybot
44,out+about,"Workiva - Best Use of Cloud Computing, Best Domain Name from Domain.com, Optum - Most Innovative Use of Health Technology",http://hackisu-s17.devpost.com/submissions/68112-out-about
45,0,,http://hackisu-s17.devpost.com/submissions/68114-
46,InstaGrub,,http://hackisu-s17.devpost.com/submissions/68124-instagrub
47,Augmented Smoothie Order,,http://hackisu-s17.devpost.com/submissions/68128-augmented-smoothie-order
48,Should I Call An Ambulance,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Optum - Most Innovative Use of Health Technology",http://hackisu-s17.devpost.com/submissions/68148-should-i-call-an-ambulance
49,Simple Keylogger,,http://hackisu-s17.devpost.com/submissions/68149-simple-keylogger
50,Safespace,"Pappajohn Center - Most Entrepreneurial Hack, #HackHarassment, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68153-safespace
51,February Hummingbird,,http://hackisu-s17.devpost.com/submissions/68161-february-hummingbird
52,HackStak,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67938-hackstak
53,MyPick,Workiva - Best Use of Cloud Computing,http://hackisu-s17.devpost.com/submissions/68177-mypick
54,AgentTweet,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, #HackHarassment, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68180-agenttweet
55,AMI (Artificial Musical Intelligence)  ,"Workiva - Best Use of Cloud Computing, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/67877-ami-artificial-musical-intelligence
56,Sloth Analytics,"Pappajohn Center - Most Entrepreneurial Hack, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68183-sloth-analytics
57,SpotifyMoodAnalyzer,,http://hackisu-s17.devpost.com/submissions/68187-spotifymoodanalyzer
58,Project Access,Pappajohn Center - Most Entrepreneurial Hack,http://hackisu-s17.devpost.com/submissions/68188-project-access
59,KittyKat,Rockwell Collins - Most Innovative Hack,http://hackisu-s17.devpost.com/submissions/68189-kittykat
60,Career Aide,"Workiva - Best Use of Cloud Computing, Best Domain Name from Domain.com, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68197-career-aide
61,Dirty Mike and the BOIZ,"Pappajohn Center - Most Entrepreneurial Hack, #HackHarassment, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68201-dirty-mike-and-the-boiz
62,BatteryWise,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68204-batterywise
63,Vocal Hashing!,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68213-vocal-hashing
64,Box,"Workiva - Best Use of Cloud Computing, Pappajohn Center - Most Entrepreneurial Hack, Best Domain Name from Domain.com, #HackHarassment, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68223-box
65,Object Recognition with Sound Waves and AI,"Pappajohn Center - Most Entrepreneurial Hack, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68224-object-recognition-with-sound-waves-and-ai
66,screaming into the void of neuralnetworksbreakout,Workiva - Best Use of Cloud Computing,http://hackisu-s17.devpost.com/submissions/68228-screaming-into-the-void-of-neuralnetworksbreakout
67,HackUrFruit,"Pappajohn Center - Most Entrepreneurial Hack, Optum - Most Innovative Use of Health Technology, Rockwell Collins - Most Innovative Hack",http://hackisu-s17.devpost.com/submissions/68230-hackurfruit
68,Language Creator,,http://hackisu-s17.devpost.com/submissions/68233-language-creator
